Epoch [52/200] - Avg Loss: 1.121534, Seg Loss: 1.102870, Inv Loss: 0.002617, Inc Loss: 0.016047, Best Loss: 1.121534, LR: 0.000001
Epoch [53/200] - Avg Loss: 1.119395, Seg Loss: 1.101080, Inv Loss: 0.002594, Inc Loss: 0.015720, Best Loss: 1.119395, LR: 0.000002
Epoch [54/200] - Avg Loss: 1.116935, Seg Loss: 1.098815, Inv Loss: 0.002574, Inc Loss: 0.015545, Best Loss: 1.116935, LR: 0.000003
Epoch [55/200] - Avg Loss: 1.113589, Seg Loss: 1.095598, Inv Loss: 0.002538, Inc Loss: 0.015453, Best Loss: 1.113589, LR: 0.000003
Epoch [56/200] - Avg Loss: 1.110925, Seg Loss: 1.093064, Inv Loss: 0.002525, Inc Loss: 0.015336, Best Loss: 1.110925, LR: 0.000004
Epoch [57/200] - Avg Loss: 1.112637, Seg Loss: 1.093032, Inv Loss: 0.002473, Inc Loss: 0.017132, Best Loss: 1.110925, LR: 0.000006
Epoch [58/200] - Avg Loss: 1.116416, Seg Loss: 1.097724, Inv Loss: 0.002556, Inc Loss: 0.016135, Best Loss: 1.110925, LR: 0.000007
Epoch [59/200] - Avg Loss: 1.132201, Seg Loss: 1.111739, Inv Loss: 0.002607, Inc Loss: 0.017855, Best Loss: 1.110925, LR: 0.000009
Epoch [60/200] - Avg Loss: 1.148807, Seg Loss: 1.123354, Inv Loss: 0.002716, Inc Loss: 0.022737, Best Loss: 1.110925, LR: 0.000010
Epoch [61/200] - Avg Loss: 1.146404, Seg Loss: 1.123956, Inv Loss: 0.002703, Inc Loss: 0.019745, Best Loss: 1.110925, LR: 0.000012
Epoch [62/200] - Avg Loss: 1.154583, Seg Loss: 1.128679, Inv Loss: 0.002959, Inc Loss: 0.022944, Best Loss: 1.110925, LR: 0.000014
Epoch [63/200] - Avg Loss: 1.154575, Seg Loss: 1.133009, Inv Loss: 0.002718, Inc Loss: 0.018848, Best Loss: 1.110925, LR: 0.000017
Epoch [64/200] - Avg Loss: 1.258783, Seg Loss: 1.220814, Inv Loss: 0.003675, Inc Loss: 0.034294, Best Loss: 1.110925, LR: 0.000019
Epoch [65/200] - Avg Loss: 1.279387, Seg Loss: 1.238235, Inv Loss: 0.004644, Inc Loss: 0.036509, Best Loss: 1.110925, LR: 0.000021
Epoch [66/200] - Avg Loss: 1.210131, Seg Loss: 1.182019, Inv Loss: 0.003545, Inc Loss: 0.024566, Best Loss: 1.110925, LR: 0.000024
Epoch [67/200] - Avg Loss: 1.178563, Seg Loss: 1.147441, Inv Loss: 0.003091, Inc Loss: 0.028032, Best Loss: 1.110925, LR: 0.000027
Epoch [68/200] - Avg Loss: 1.304896, Seg Loss: 1.262491, Inv Loss: 0.004395, Inc Loss: 0.038010, Best Loss: 1.110925, LR: 0.000029
Epoch [69/200] - Avg Loss: 1.674898, Seg Loss: 1.572181, Inv Loss: 0.011851, Inc Loss: 0.090866, Best Loss: 1.110925, LR: 0.000032
Epoch [70/200] - Avg Loss: 1.349690, Seg Loss: 1.303730, Inv Loss: 0.005158, Inc Loss: 0.040802, Best Loss: 1.110925, LR: 0.000035
Epoch [71/200] - Avg Loss: 1.228663, Seg Loss: 1.196983, Inv Loss: 0.003872, Inc Loss: 0.027808, Best Loss: 1.110925, LR: 0.000038
Epoch [72/200] - Avg Loss: 1.184224, Seg Loss: 1.156830, Inv Loss: 0.003297, Inc Loss: 0.024097, Best Loss: 1.110925, LR: 0.000041
Epoch [73/200] - Avg Loss: 1.206926, Seg Loss: 1.177107, Inv Loss: 0.003495, Inc Loss: 0.026325, Best Loss: 1.110925, LR: 0.000044
Epoch [74/200] - Avg Loss: 1.301082, Seg Loss: 1.260398, Inv Loss: 0.004180, Inc Loss: 0.036504, Best Loss: 1.110925, LR: 0.000047
Epoch [75/200] - Avg Loss: 1.325066, Seg Loss: 1.267761, Inv Loss: 0.003876, Inc Loss: 0.053429, Best Loss: 1.110925, LR: 0.000050
Epoch [76/200] - Avg Loss: 1.369856, Seg Loss: 1.306546, Inv Loss: 0.005362, Inc Loss: 0.057948, Best Loss: 1.110925, LR: 0.000054
Epoch [77/200] - Avg Loss: 1.482593, Seg Loss: 1.417463, Inv Loss: 0.006136, Inc Loss: 0.058994, Best Loss: 1.110925, LR: 0.000057
Epoch [78/200] - Avg Loss: 1.577897, Seg Loss: 1.499317, Inv Loss: 0.008271, Inc Loss: 0.070309, Best Loss: 1.110925, LR: 0.000060
Epoch [79/200] - Avg Loss: 1.391238, Seg Loss: 1.346058, Inv Loss: 0.006516, Inc Loss: 0.038664, Best Loss: 1.110925, LR: 0.000063
Epoch [80/200] - Avg Loss: 1.952332, Seg Loss: 1.757067, Inv Loss: 0.011258, Inc Loss: 0.184007, Best Loss: 1.110925, LR: 0.000066
Epoch [81/200] - Avg Loss: 1.859480, Seg Loss: 1.759153, Inv Loss: 0.012634, Inc Loss: 0.087693, Best Loss: 1.110925, LR: 0.000069
Epoch [82/200] - Avg Loss: 1.927501, Seg Loss: 1.792168, Inv Loss: 0.012332, Inc Loss: 0.123002, Best Loss: 1.110925, LR: 0.000072
Epoch [83/200] - Avg Loss: 1.569740, Seg Loss: 1.479120, Inv Loss: 0.010549, Inc Loss: 0.080070, Best Loss: 1.110925, LR: 0.000074
Epoch [84/200] - Avg Loss: 1.349357, Seg Loss: 1.307064, Inv Loss: 0.005447, Inc Loss: 0.036846, Best Loss: 1.110925, LR: 0.000077
Epoch [85/200] - Avg Loss: 1.351831, Seg Loss: 1.305166, Inv Loss: 0.005288, Inc Loss: 0.041378, Best Loss: 1.110925, LR: 0.000080
Epoch [86/200] - Avg Loss: 2.037033, Seg Loss: 1.911545, Inv Loss: 0.016074, Inc Loss: 0.109415, Best Loss: 1.110925, LR: 0.000082
Epoch [87/200] - Avg Loss: 1.608987, Seg Loss: 1.538692, Inv Loss: 0.009051, Inc Loss: 0.061244, Best Loss: 1.110925, LR: 0.000084
Epoch [88/200] - Avg Loss: 1.413502, Seg Loss: 1.366319, Inv Loss: 0.006165, Inc Loss: 0.041018, Best Loss: 1.110925, LR: 0.000087
Epoch [89/200] - Avg Loss: 1.438265, Seg Loss: 1.384544, Inv Loss: 0.006724, Inc Loss: 0.046997, Best Loss: 1.110925, LR: 0.000089
Epoch [90/200] - Avg Loss: 1.309248, Seg Loss: 1.271177, Inv Loss: 0.004766, Inc Loss: 0.033305, Best Loss: 1.110925, LR: 0.000091
Epoch [91/200] - Avg Loss: 1.368555, Seg Loss: 1.312775, Inv Loss: 0.005098, Inc Loss: 0.050682, Best Loss: 1.110925, LR: 0.000092
Epoch [92/200] - Avg Loss: 1.421397, Seg Loss: 1.356452, Inv Loss: 0.005319, Inc Loss: 0.059625, Best Loss: 1.110925, LR: 0.000094
Epoch [93/200] - Avg Loss: 1.376146, Seg Loss: 1.324640, Inv Loss: 0.004998, Inc Loss: 0.046507, Best Loss: 1.110925, LR: 0.000095
Epoch [94/200] - Avg Loss: 2.026121, Seg Loss: 1.845700, Inv Loss: 0.016878, Inc Loss: 0.163542, Best Loss: 1.110925, LR: 0.000097
Epoch [95/200] - Avg Loss: 1.724372, Seg Loss: 1.627937, Inv Loss: 0.010695, Inc Loss: 0.085740, Best Loss: 1.110925, LR: 0.000098
Epoch [96/200] - Avg Loss: 1.498025, Seg Loss: 1.435713, Inv Loss: 0.006496, Inc Loss: 0.055817, Best Loss: 1.110925, LR: 0.000098
Epoch [97/200] - Avg Loss: 1.447749, Seg Loss: 1.385228, Inv Loss: 0.006464, Inc Loss: 0.056057, Best Loss: 1.110925, LR: 0.000099
Epoch [98/200] - Avg Loss: 1.392797, Seg Loss: 1.342930, Inv Loss: 0.006650, Inc Loss: 0.043218, Best Loss: 1.110925, LR: 0.000100
Epoch [99/200] - Avg Loss: 1.315093, Seg Loss: 1.272188, Inv Loss: 0.004690, Inc Loss: 0.038214, Best Loss: 1.110925, LR: 0.000100
Epoch [100/200] - Avg Loss: 1.414249, Seg Loss: 1.361484, Inv Loss: 0.006458, Inc Loss: 0.046307, Best Loss: 1.110925, LR: 0.000100
Epoch [101/200] - Avg Loss: 2.274956, Seg Loss: 2.023383, Inv Loss: 0.022949, Inc Loss: 0.228624, Best Loss: 1.110925, LR: 0.000100
Epoch [102/200] - Avg Loss: 1.981899, Seg Loss: 1.849122, Inv Loss: 0.016341, Inc Loss: 0.116436, Best Loss: 1.110925, LR: 0.000100
Epoch [103/200] - Avg Loss: 1.483336, Seg Loss: 1.422245, Inv Loss: 0.007092, Inc Loss: 0.053999, Best Loss: 1.110925, LR: 0.000099
Epoch [104/200] - Avg Loss: 1.346669, Seg Loss: 1.300033, Inv Loss: 0.005184, Inc Loss: 0.041451, Best Loss: 1.110925, LR: 0.000098
Epoch [105/200] - Avg Loss: 1.332387, Seg Loss: 1.290250, Inv Loss: 0.005103, Inc Loss: 0.037035, Best Loss: 1.110925, LR: 0.000098
Epoch [106/200] - Avg Loss: 1.313731, Seg Loss: 1.271004, Inv Loss: 0.004740, Inc Loss: 0.037987, Best Loss: 1.110925, LR: 0.000097
Epoch [107/200] - Avg Loss: 1.425521, Seg Loss: 1.357441, Inv Loss: 0.005409, Inc Loss: 0.062671, Best Loss: 1.110925, LR: 0.000095
Epoch [108/200] - Avg Loss: 1.387869, Seg Loss: 1.336638, Inv Loss: 0.006079, Inc Loss: 0.045152, Best Loss: 1.110925, LR: 0.000094
Epoch [109/200] - Avg Loss: 1.537626, Seg Loss: 1.465770, Inv Loss: 0.007980, Inc Loss: 0.063876, Best Loss: 1.110925, LR: 0.000092
Epoch [110/200] - Avg Loss: 1.450705, Seg Loss: 1.382545, Inv Loss: 0.007532, Inc Loss: 0.060628, Best Loss: 1.110925, LR: 0.000091
Epoch [111/200] - Avg Loss: 1.369086, Seg Loss: 1.321312, Inv Loss: 0.006667, Inc Loss: 0.041107, Best Loss: 1.110925, LR: 0.000089
Epoch [112/200] - Avg Loss: 1.281713, Seg Loss: 1.240535, Inv Loss: 0.005143, Inc Loss: 0.036034, Best Loss: 1.110925, LR: 0.000087
Epoch [113/200] - Avg Loss: 1.322169, Seg Loss: 1.254052, Inv Loss: 0.005480, Inc Loss: 0.062637, Best Loss: 1.110925, LR: 0.000084
Epoch [114/200] - Avg Loss: 1.249429, Seg Loss: 1.211761, Inv Loss: 0.004342, Inc Loss: 0.033326, Best Loss: 1.110925, LR: 0.000082
Epoch [115/200] - Avg Loss: 1.236431, Seg Loss: 1.199161, Inv Loss: 0.004185, Inc Loss: 0.033084, Best Loss: 1.110925, LR: 0.000080
Epoch [116/200] - Avg Loss: 1.433315, Seg Loss: 1.376398, Inv Loss: 0.007286, Inc Loss: 0.049630, Best Loss: 1.110925, LR: 0.000077
Epoch [117/200] - Avg Loss: 1.411275, Seg Loss: 1.366374, Inv Loss: 0.007416, Inc Loss: 0.037485, Best Loss: 1.110925, LR: 0.000074
Epoch [118/200] - Avg Loss: 1.324569, Seg Loss: 1.262772, Inv Loss: 0.005929, Inc Loss: 0.055868, Best Loss: 1.110925, LR: 0.000072
Epoch [119/200] - Avg Loss: 1.198788, Seg Loss: 1.167327, Inv Loss: 0.004070, Inc Loss: 0.027390, Best Loss: 1.110925, LR: 0.000069
Epoch [120/200] - Avg Loss: 1.175608, Seg Loss: 1.145523, Inv Loss: 0.003555, Inc Loss: 0.026531, Best Loss: 1.110925, LR: 0.000066
Epoch [121/200] - Avg Loss: 1.156095, Seg Loss: 1.130945, Inv Loss: 0.003388, Inc Loss: 0.021762, Best Loss: 1.110925, LR: 0.000063
Epoch [122/200] - Avg Loss: 1.130624, Seg Loss: 1.108043, Inv Loss: 0.003171, Inc Loss: 0.019410, Best Loss: 1.110925, LR: 0.000060
Epoch [123/200] - Avg Loss: 1.109693, Seg Loss: 1.088690, Inv Loss: 0.002800, Inc Loss: 0.018203, Best Loss: 1.109693, LR: 0.000057
Epoch [124/200] - Avg Loss: 1.106308, Seg Loss: 1.085801, Inv Loss: 0.002682, Inc Loss: 0.017825, Best Loss: 1.106308, LR: 0.000054
Epoch [125/200] - Avg Loss: 1.115962, Seg Loss: 1.089368, Inv Loss: 0.002669, Inc Loss: 0.023925, Best Loss: 1.106308, LR: 0.000051
Epoch [126/200] - Avg Loss: 1.140944, Seg Loss: 1.118359, Inv Loss: 0.003059, Inc Loss: 0.019527, Best Loss: 1.106308, LR: 0.000047
Epoch [127/200] - Avg Loss: 1.145174, Seg Loss: 1.119085, Inv Loss: 0.003578, Inc Loss: 0.022510, Best Loss: 1.106308, LR: 0.000044
Epoch [128/200] - Avg Loss: 1.096204, Seg Loss: 1.075251, Inv Loss: 0.002920, Inc Loss: 0.018033, Best Loss: 1.096204, LR: 0.000041
Epoch [129/200] - Avg Loss: 1.091027, Seg Loss: 1.071059, Inv Loss: 0.002663, Inc Loss: 0.017305, Best Loss: 1.091027, LR: 0.000038
Epoch [130/200] - Avg Loss: 1.079145, Seg Loss: 1.061036, Inv Loss: 0.002538, Inc Loss: 0.015570, Best Loss: 1.079145, LR: 0.000035
Epoch [131/200] - Avg Loss: 1.064025, Seg Loss: 1.046448, Inv Loss: 0.002424, Inc Loss: 0.015154, Best Loss: 1.064025, LR: 0.000032
Epoch [132/200] - Avg Loss: 1.048037, Seg Loss: 1.032474, Inv Loss: 0.002104, Inc Loss: 0.013459, Best Loss: 1.048037, LR: 0.000029
Epoch [133/200] - Avg Loss: 1.040003, Seg Loss: 1.023568, Inv Loss: 0.002053, Inc Loss: 0.014383, Best Loss: 1.040003, LR: 0.000027
Epoch [134/200] - Avg Loss: 1.033431, Seg Loss: 1.018791, Inv Loss: 0.001973, Inc Loss: 0.012667, Best Loss: 1.033431, LR: 0.000024
